County,Lean,Elasticity,Democratic Avg,Republican Avg,Democratic Variance,Republican Variance,Covariance,Correlation,Flippability,Lean 2018,Lean 2014,Trump Effect,Trend,Presidential Turnout %,Midterm Turnout %,Total Voters,Ballots Cast,Yes on 73,No on 73,Abstain on 73,Yes % on 73,No % on 73,Abstain % on 73,Johnston Primary Votes,Johnston Primary %,Primary Ballots Cast,Polis Primary Votes,Polis Primary %,Kennedy Primary Votes,Kennedy Primary %,Primary Turnout %,Area,Voter Density,Primary Voter Density,Flippable
Routt,0.14007096855074913,0.08584285944871436,0.5525243760749796,0.4124534075242304,0.0019806523700868217,0.0019029117739215728,-0.0016156645230524513,-0.8322192039749409,-0.21264395601844802,0.2333830068082592,0.07701738028880911,0.1563656265194501,0.018298176342920417,0.7148495616240158,0.6156747338668729,20709.0,14803.819571671744,6634,6265,718,0.48718513622677534,0.4600866563854006,0.05272820738782404,781,0.22816243061641836,3423,1328,0.38796377446684194,1059,0.3093777388255916,0.36124761318531456,2362.031377718089,6.267410209416191,1.4491763455347877,0
San Juan,0.1354020427682212,0.07777234131139944,0.5450484916983973,0.40964644893017604,0.0020924691635654247,0.0015302130660286295,-0.0011009174759340212,-0.6152466809294223,-0.24080004301535035,0.2247972191153716,0.06933036853171151,0.15546685058366008,0.017671406360563326,0.7504355544546281,0.6506642817769678,747.0,560.5753591776072,226,204,42,0.4788135593220339,0.4322033898305085,0.08898305084745763,21,0.1826086956521739,115,47,0.40869565217391307,35,0.30434782608695654,0.3228607340053318,387.51745082515805,1.4465809423135636,0.29676082910621293,0
Gilpin,0.08481882936960496,0.04850691626198332,0.5127051700028713,0.4278863406332663,0.0009161708027037863,0.0010785832647616234,-0.0001370669837971461,-0.13788524455812284,-0.24268860820231153,0.111431083973646,0.053305058555112105,0.05812602541853389,-0.004374744790623829,0.7014423571852015,0.6449766344166197,5219.0,3660.827662149567,1505,1746,174,0.4394160583941606,0.5097810218978103,0.0508029197080292,120,0.1284796573875803,934,550,0.588865096359743,220,0.23554603854389722,0.4362608534963413,149.89679849585974,24.422320549098863,6.230953625242354,0
Broomfield,0.07986426867992141,0.08043112872108603,0.5181538275636348,0.4382895588837133,0.0018361795409563286,0.0016706171144356408,-0.0013696475530926566,-0.7820108718094706,0.003071644203482563,0.1866064611325751,0.0002891722290886841,0.1863172889034864,0.025835226284455712,0.7707497050405095,0.6719689558324313,52117.0,40169.162377596236,17865,17528,1281,0.48712984675792115,0.4779407754812674,0.034929377760811474,1849,0.17554352985853983,10533,6253,0.593658027152758,1868,0.1773473844108991,0.4522025011812475,33.003764215605614,1217.108512689062,319.145414177318,1
Clear Creek,0.07362957593911613,0.05084883533744596,0.5095029818983687,0.4358734059592528,0.0011116494404627142,0.0008309510471427028,-0.00027533028279944083,-0.28647210169070836,-0.16077128910194458,0.12248610924887471,0.033037179646763525,0.08944892960211118,0.004728249422942023,0.733825152032263,0.6384158288464377,8248.0,6052.589853962105,2382,2809,274,0.43586459286367796,0.5139981701738335,0.05013723696248856,291,0.19271523178807948,1510,877,0.580794701986755,258,0.17086092715231788,0.43491477980294274,395.20079147122794,15.315227055669384,3.8208425503872845,0
Ouray,0.07358567233150166,0.07524035192764847,0.5200588039516566,0.44647313162015484,0.0016131161516784176,0.0014821290240110419,-0.001178097310546189,-0.7619129210581524,0.0096575559857385,0.1686329268597382,0.013607748190111235,0.15502517866962698,0.023735377366089824,0.7479699169645639,0.6692206776928518,4661.0,3486.2877829718327,1720,1411,123,0.5285802089735709,0.43362015980331897,0.03779963122311002,188,0.22065727699530516,852,287,0.3368544600938967,307,0.36032863849765256,0.42606716481521556,541.5956618886523,6.437067407103023,1.5731292917467354,0
La Plata,0.0683750371553026,0.06014530454583723,0.5159978376154091,0.4476228004601064,0.0010742885620769749,0.0011007005061148267,-0.0006542443387133612,-0.6016513760227439,-0.055695847061929864,0.1283299752826021,0.01614131861303826,0.11218865666956383,0.011738582921420203,0.7138780892041965,0.5852656932257359,46073.0,32890.50520390495,12947,14469,1485,0.4479775786304972,0.500640116258953,0.05138230511054981,994,0.15555555555555556,6390,2191,0.34287949921752736,2376,0.37183098591549296,0.3418183064992111,1689.7929917797553,19.464221572645652,3.7815282884265042,0
Pueblo,0.06701470102310193,0.14264941657348737,0.5184479967038834,0.4514332956807815,0.005949460018956243,0.004359906257064783,-0.004744760345168214,-0.9316159822519992,0.32809991537610383,0.09024518246652181,0.044552913906747156,0.04569226855977466,-0.011379957673029427,0.6898962411064896,0.5749150717410871,114009.0,78654.38055230977,23413,41604,2529,0.34662304207503036,0.6159358067095017,0.037441151215467976,4521,0.23707393812270583,19070,8069,0.42312532773990563,5086,0.2667016255899318,0.42759582774042454,2386.1577601410177,32.96277466065841,7.991927574341521,1
Arapahoe,0.061679867383232265,0.2606451817352562,0.5191172563373506,0.45743738895411834,0.017649936811704015,0.016243088880111667,-0.01659146841624895,-0.9798936353686816,0.6259062697310593,0.11183260635104651,-0.022634795520909815,0.13446740187195633,0.009505177334080222,0.7446208309130863,0.6117993035499885,430697.0,320705.95801177353,123763,135625,15373,0.45043874494560726,0.49361081085015707,0.05595044420423568,18692,0.2701780758556892,69184,27524,0.3978376503237743,17166,0.2481209528214616,0.38406946655190016,797.9359839404946,401.9194076547498,86.70369727950424,1
Alamosa,0.049638155632383975,0.07700360970521501,0.5064071266178307,0.45676897098544683,0.0018923874966289556,0.0013879527316138507,-0.0012257819079012633,-0.7563465567062821,0.19069544773854957,0.048023069238590545,0.027342870248696364,0.02068019898989418,-0.007930454884108602,0.6979655902451825,0.5900647581831011,10418.0,7271.405519174311,2537,3321,341,0.4092595579932247,0.5357315696080013,0.05500887239877399,333,0.21196690006365373,1571,477,0.30362826225334183,595,0.3787396562698918,0.3930799986763346,722.5806051255358,10.063106409991493,2.174151906176704,0
Adams,0.04147967092305271,0.24942145842094524,0.5037776771698534,0.4622980062468008,0.016169670885841814,0.01495659381340525,-0.01504866100824584,-0.9676781153281864,0.7790985120340141,0.044155919433956144,-0.0207051795799958,0.06486109901395194,-0.007685359609639418,0.7086522472717909,0.5571531906955218,287907.0,204025.9425552795,76761,87753,9903,0.4401004489241301,0.5031218287208242,0.05677772235504567,10030,0.23971129487118206,41842,19731,0.47155967687969025,8756,0.20926341953061517,0.378743236408551,1167.2778837592373,174.78780793671055,35.845791805158825,1
Huerfano,0.0349963629404279,0.05945190345463106,0.49801832749530445,0.46302196455487643,0.001322255814433737,0.0007786629889302565,-0.0006558648583629423,-0.6463709845127447,0.23014285199465784,0.03810834659398145,0.01695537101515577,0.02115297557882568,-0.010761146709989665,0.754898012676005,0.6659620732641138,5452.0,4115.703965109579,1400,2077,233,0.37735849056603776,0.5598382749326145,0.06280323450134771,261,0.2116788321167883,1233,534,0.43309002433090027,349,0.28304947283049475,0.5599743287090232,1591.040825548811,2.5867997219304004,0.7749644007875731,0
Jefferson,0.03455400662444196,0.15959877877888468,0.49889927477604373,0.46434526815160154,0.006953449508499937,0.00600361749028358,-0.006087539793212554,-0.9421827601375757,0.6645311517109287,0.10471673404833659,-0.027956993679717823,0.1326737277280544,0.02202257536797394,0.7720230696775747,0.6593477685023796,441628.0,340947.00421556795,140963,156189,13691,0.4534861650415161,0.5024690921140255,0.04404474284445846,19443,0.23912776110591824,81308,35584,0.4376445122251193,19822,0.24378904904806414,0.44612320200789835,764.2468448318781,446.1215725274872,106.3897097512865,1
Conejos,0.028008705006605593,0.07877300101184674,0.5016774100059714,0.4736687049993657,0.0019877519988708015,0.0012399264015267863,-0.0013853338825338957,-0.8824201226820869,0.4490843615707884,0.0009064745815512941,0.01941131526466979,-0.018504840683118497,-0.009175905736577873,0.7318379994713085,0.6507209100669511,5514.0,4035.3547290847946,1216,2107,326,0.3332419841052343,0.5774184708139216,0.08933954508084406,282,0.27037392138063276,1043,337,0.3231064237775647,326,0.31255992329817833,0.48950993244594776,1287.4345643029053,3.1344154032945193,0.8101382617179795,0
