Type,FirstRound,SecondRound,SweetSixteen,EliteEight,FinalFour,Championship,Total
CoinFlip,170.0,60.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,290.0,280.0,240.0,80.0,0.0,0.0,890.0
CoinFlip,130.0,80.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,260.0,260.0,120.0,160.0,0.0,0.0,800.0
CoinFlip,140.0,60.0,40.0,0.0,0.0,0.0,240.0
FiveThirtyEight,280.0,220.0,160.0,160.0,160.0,0.0,980.0
CoinFlip,160.0,80.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,280.0,240.0,240.0,160.0,0.0,0.0,920.0
CoinFlip,110.0,60.0,80.0,0.0,0.0,0.0,250.0
FiveThirtyEight,260.0,240.0,200.0,160.0,0.0,0.0,860.0
CoinFlip,150.0,60.0,80.0,80.0,0.0,0.0,370.0
FiveThirtyEight,310.0,260.0,200.0,160.0,160.0,0.0,1090.0
CoinFlip,180.0,60.0,40.0,80.0,0.0,0.0,360.0
FiveThirtyEight,270.0,240.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,190.0,160.0,120.0,80.0,0.0,0.0,550.0
FiveThirtyEight,280.0,240.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,140.0,100.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,280.0,260.0,200.0,80.0,0.0,0.0,820.0
CoinFlip,150.0,60.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,280.0,200.0,160.0,80.0,0.0,0.0,720.0
CoinFlip,170.0,80.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,290.0,240.0,200.0,240.0,160.0,0.0,1130.0
CoinFlip,210.0,140.0,80.0,0.0,0.0,0.0,430.0
FiveThirtyEight,270.0,200.0,160.0,80.0,0.0,0.0,710.0
CoinFlip,160.0,60.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,230.0,240.0,200.0,0.0,0.0,0.0,670.0
CoinFlip,180.0,120.0,40.0,0.0,0.0,0.0,340.0
FiveThirtyEight,260.0,260.0,240.0,160.0,0.0,0.0,920.0
CoinFlip,170.0,20.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,230.0,280.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,170.0,100.0,80.0,0.0,0.0,0.0,350.0
FiveThirtyEight,270.0,220.0,200.0,80.0,0.0,0.0,770.0
CoinFlip,130.0,40.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,260.0,300.0,240.0,160.0,160.0,320.0,1440.0
CoinFlip,230.0,80.0,80.0,0.0,0.0,0.0,390.0
FiveThirtyEight,270.0,220.0,200.0,80.0,0.0,0.0,770.0
CoinFlip,160.0,80.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,290.0,220.0,160.0,160.0,160.0,0.0,990.0
CoinFlip,190.0,120.0,80.0,160.0,320.0,320.0,1190.0
FiveThirtyEight,250.0,240.0,160.0,160.0,160.0,0.0,970.0
CoinFlip,140.0,60.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,270.0,260.0,240.0,80.0,0.0,0.0,850.0
CoinFlip,150.0,80.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,280.0,220.0,160.0,160.0,0.0,0.0,820.0
CoinFlip,140.0,40.0,80.0,0.0,0.0,0.0,260.0
FiveThirtyEight,260.0,200.0,160.0,80.0,0.0,0.0,700.0
CoinFlip,130.0,80.0,0.0,0.0,0.0,0.0,210.0
