1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
74,CA,California,S,S8CA00283,,Gail K.,Lightfoot,"Lightfoot, Gail K.",,LIB,"99,761",1.33%,,,,,,,,,,
75,CA,California,S,S6CA00832 ,,Massie ,Munroe,"Munroe, Massie ",,D,"98,150",1.31%,,,,,,,,,,
76,CA,California,S,S6CA00956,,Pamela,Elizondo,"Elizondo, Pamela",,GRE,"95,677",1.27%,,,,,,,,,,
77,CA,California,S,S6CA00675,,Tom,Palzer,"Palzer, Tom",,R,"93,263",1.24%,,,,,,,,,,
78,CA,California,S,S8CA00291,,Ron,Unz,"Unz, Ron",,R,"92,325",1.23%,,,,,,,,,,
79,CA,California,S,S2CA00799,,Don,Krampe,"Krampe, Don",,R,"69,635",0.93%,,,,,,,,,,
80,CA,California,S,S6CA00980 ,,Eleanor ,García,"García, Eleanor ",,NOP,"65,084",0.87%,,,,,,,,,,
81,CA,California,S,S6CA00824 ,,Jarrell ,Williamson,"Williamson, Jarrell ",,R,"64,120",0.85%,,,,,,,,,,
82,CA,California,S,S6CA00915,,Von,Hougo,"Hougo, Von",,R,"63,609",0.85%,,,,,,,,,,
83,CA,California,S,S6CA00899,,President Cristina,Grappo,"Grappo, President Cristina",,D,"63,330",0.84%,,,,,,,,,,
84,CA,California,S,S6CA00717 ,,Jerry J.,Laws,"Laws, Jerry J.",,R,"53,023",0.71%,,,,,,,,,,
85,CA,California,S,S6CA00972 ,,Mark Matthew ,Herd,"Herd, Mark Matthew ",,LIB,"41,344",0.55%,,,,,,,,,,
86,CA,California,S,S6CA00949,,John Thompson,Parker,"Parker, John Thompson",,PAF,"35,998",0.48%,,,,,,,,,,
87,CA,California,S,S6CA01020,,Ling Ling,Shi,"Shi, Ling Ling",,NOP,"35,196",0.47%,,,,,,,,,,
88,CA,California,S,S6CA00907 ,,Herbert G.,Peters,"Peters, Herbert G.",,D,"32,638",0.43%,,,,,,,,,,
89,CA,California,S,S6CA00865 ,,Emory,Rodgers,"Rodgers, Emory",,D,"31,485",0.42%,,,,,,,,,,
90,CA,California,S,S6CA00766 ,,Mike ,Beitiks,"Beitiks, Mike ",,NOP,"31,450",0.42%,,,,,,,,,,
91,CA,California,S,S6CA00774 ,,Clive,Grey,"Grey, Clive",,NOP,"29,418",0.39%,,,,,,,,,,
92,CA,California,S,S6CA00998,,Jason,Hanania,"Hanania, Jason",,NOP,"27,715",0.37%,,,,,,,,,,
93,CA,California,S,S6CA01012,,Paul,Merritt,"Merritt, Paul",,NOP,"24,031",0.32%,,,,,,,,,,
94,CA,California,S,S6CA01004,,Jason,Kraus,"Kraus, Jason",,NOP,"19,318",0.26%,,,,,,,,,,
95,CA,California,S,S4CA00332,,Don J.,Grundmann,"Grundmann, Don J.",,NOP,"15,317",0.20%,,,,,,,,,,
96,CA,California,S,S6CA00857,,Scott A.,Vineberg,"Vineberg, Scott A.",,NOP,"11,843",0.16%,,,,,,,,,,
97,CA,California,S,S6CA00733 ,,Tim,Gildersleeve,"Gildersleeve, Tim",,NOP,"9,798",0.13%,,,,,,,,,,
98,CA,California,S,S6CA00881,,Gar,Myers,"Myers, Gar",,NOP,"8,726",0.12%,,,,,,,,,,
99,CA,California,S,S6CA00964,,Billy,Falling,"Falling, Billy",,W(R),87,0.00%,,,,,,,,,,
100,CA,California,S,n/a,,Ric M.,Llewellyn,"Llewellyn, Ric M.",,W(NOP),32,0.00%,,,,,,,,,,
101,CA,California,S,n/a,,Alexis,Stuart,"Stuart, Alexis",,W(R),10,0.00%,,,,,,,,,,
102,CA,California,S,n/a,,,,,Total State Votes:,,"7,512,322",,,,"12,244,176",,,,,,,
103,CA,California,S,n/a,,,,,,,,,,,,,,,,,,
104,,,S,n/a,,,,,,,,,,,,,,,,,,
105,CO,Colorado,S,S0CO00211,(I),Michael,Bennet,"Bennet, Michael",,D,"262,344",100.00%,,,"1,370,710",49.97%,,,,,W,
106,CO,Colorado,S,n/a,,,,,Party Votes:,D,"262,344",,,,,,,,,,,
107,CO,Colorado,S,S6CO00226,,Darryl,Glenn,"Glenn, Darryl",,R,"131,125",37.73%,,,"1,215,318",44.31%,,,,,,
108,CO,Colorado,S,S6CO00309,,Jack,Graham,"Graham, Jack",,R,"85,400",24.57%,,,,,,,,,,
109,CO,Colorado,S,S6CO00275,,Robert,Blaha,"Blaha, Robert",,R,"57,196",16.46%,,,,,,,,,,
110,CO,Colorado,S,S6CO00283,,Jon,Keyser,"Keyser, Jon",,R,"43,509",12.52%,,,,,,,,,,
111,CO,Colorado,S,S0CO00229,,Ryan L.,Frazier,"Frazier, Ryan L.",,R,"30,241",8.70%,,,,,,,,,,
112,CO,Colorado,S,S6CO00341,,Jerry,Eller,"Eller, Jerry",,W(R),68,0.02%,,,,,,,,,,
113,CO,Colorado,S,n/a,,,,,Party Votes:,R,"347,539",,,,,,,,,,,
114,CO,Colorado,S,S6CO00317 ,,Lily Tang ,Williams,"Williams, Lily Tang ",,LIB,,,,,"99,277",3.62%,,,,,,
115,CO,Colorado,S,S6CO00366,,Arn,Menconi,"Menconi, Arn",,GRE,,,,,"36,805",1.34%,,,,,,
116,CO,Colorado,S,S4CO00411,,Bill,Hammons,"Hammons, Bill",,UPC,,,,,"9,336",0.34%,,,,,,
117,CO,Colorado,S,S6CO00374,,Dan,Chapin,"Chapin, Dan",,UN,,,,,"8,361",0.30%,,,,,,
118,CO,Colorado,S,S6CO00382,,Paul Noel,Fiorino,"Fiorino, Paul Noel",,UN,,,,,"3,216",0.12%,,,,,,
