STATE,"Sex, Race and Hispanic-Origin",Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
DELAWARE,Male,342,306,216,63.0,3.8,70.4,3.8,183,53.5,4.0,59.7,4.1,,,,,
DELAWARE,Female,387,362,271,70.1,3.4,74.8,3.4,234,60.4,3.7,64.5,3.7,,,,,
DELAWARE,White alone,527,494,372,70.6,2.9,75.4,2.9,319,60.6,3.1,64.7,3.2,,,,,
DELAWARE,White non-Hispanic alone,472,464,360,76.3,2.9,77.6,2.9,308,65.2,3.2,66.3,3.2,,,,,
DELAWARE,Black alone,148,144,96,64.9,7.0,66.5,7.0,82,55.1,7.3,56.5,7.4,,,,,
DELAWARE,Asian alone,44,22,12,B,B,B,B,11,B,B,B,B,,,,,
DELAWARE,Hispanic (of any race),66,39,19,B,B,B,B,14,B,B,B,B,,,,,
DELAWARE,White alone or in combination,535,501,378,70.7,2.9,75.5,2.8,323,60.3,3.1,64.4,3.2,,,,,
DELAWARE,Black alone or in combination,154,150,100,65.2,6.9,66.8,6.9,83,54.2,7.2,55.5,7.2,,,,,
DELAWARE,Asian alone or in combination,45,22,12,B,B,B,B,12,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,Total,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5,,,,,
DISTRICT OF COLUMBIA,Male,255,237,190,74.8,3.5,80.4,3.4,168,66.1,3.9,71.0,3.8,,,,,
DISTRICT OF COLUMBIA,Female,299,275,229,76.8,3.2,83.5,2.9,212,71.0,3.4,77.2,3.3,,,,,
DISTRICT OF COLUMBIA,White alone,264,243,209,79.5,3.2,86.3,2.9,194,73.7,3.5,80.0,3.3,,,,,
DISTRICT OF COLUMBIA,White non-Hispanic alone,231,222,195,84.6,3.1,88.2,2.8,181,78.6,3.5,81.9,3.4,,,,,
DISTRICT OF COLUMBIA,Black alone,250,238,184,73.9,4.4,77.5,4.3,162,64.8,4.8,68.0,4.8,,,,,
DISTRICT OF COLUMBIA,Asian alone,27,18,14,B,B,B,B,13,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,Hispanic (of any race),42,28,20,B,B,B,B,18,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,White alone or in combination,274,253,219,80.0,3.2,86.6,2.8,203,74.3,3.4,80.5,3.3,,,,,
DISTRICT OF COLUMBIA,Black alone or in combination,259,247,192,74.2,4.3,77.7,4.2,169,65.4,4.7,68.4,4.7,,,,,
DISTRICT OF COLUMBIA,Asian alone or in combination,29,20,16,B,B,B,B,15,B,B,B,B,,,,,
FLORIDA,Total,"16,202","14,428","9,604",59.3,1.3,66.6,1.3,"8,578",52.9,1.3,59.5,1.3,,,,,
FLORIDA,Male,"7,736","6,868","4,377",56.6,1.8,63.7,1.9,"3,920",50.7,1.9,57.1,1.9,,,,,
FLORIDA,Female,"8,466","7,560","5,226",61.7,1.7,69.1,1.7,"4,658",55.0,1.8,61.6,1.8,,,,,
FLORIDA,White alone,"13,097","11,793","8,141",62.2,1.4,69.0,1.4,"7,277",55.6,1.4,61.7,1.5,,,,,
FLORIDA,White non-Hispanic alone,"9,307","9,066","6,432",69.1,1.6,70.9,1.6,"5,781",62.1,1.6,63.8,1.6,,,,,
FLORIDA,Black alone,"2,434","2,083","1,149",47.2,4.0,55.2,4.3,"1,051",43.2,4.0,50.5,4.3,,,,,
FLORIDA,Asian alone,483,381,192,39.7,9.2,50.3,10.5,154,31.9,8.7,40.4,10.3,,,,,
FLORIDA,Hispanic (of any race),"4,010","2,871","1,779",44.4,4.0,62.0,4.6,"1,552",38.7,3.9,54.1,4.8,,,,,
FLORIDA,White alone or in combination,"13,217","11,899","8,212",62.1,1.4,69.0,1.4,"7,336",55.5,1.4,61.7,1.5,,,,,
FLORIDA,Black alone or in combination,"2,496","2,135","1,184",47.4,3.9,55.4,4.2,"1,077",43.2,3.9,50.4,4.3,,,,,
FLORIDA,Asian alone or in combination,525,424,212,40.4,8.8,50.1,10.0,170,32.3,8.4,40.0,9.8,,,,,
GEORGIA,Total,"7,626","7,048","4,892",64.1,1.8,69.4,1.8,"4,246",55.7,1.9,60.2,1.9,,,,,
GEORGIA,Male,"3,623","3,317","2,237",61.7,2.7,67.4,2.7,"1,908",52.7,2.7,57.5,2.8,,,,,
GEORGIA,Female,"4,003","3,731","2,655",66.3,2.5,71.2,2.5,"2,338",58.4,2.6,62.7,2.6,,,,,
GEORGIA,White alone,"4,798","4,453","3,179",66.2,2.3,71.4,2.2,"2,786",58.1,2.4,62.6,2.4,,,,,
GEORGIA,White non-Hispanic alone,"4,184","4,142","3,028",72.4,2.3,73.1,2.3,"2,643",63.2,2.5,63.8,2.5,,,,,
GEORGIA,Black alone,"2,325","2,255","1,552",66.8,3.9,68.8,3.9,"1,346",57.9,4.1,59.7,4.1,,,,,
GEORGIA,Asian alone,365,225,101,27.7,9.8,44.9,13.9,71,19.3,8.7,31.3,12.9,,,,,
GEORGIA,Hispanic (of any race),680,335,168,24.8,8.6,50.2,14.2,161,23.6,8.5,47.9,14.2,,,,,
GEORGIA,White alone or in combination,"4,872","4,526","3,224",66.2,2.2,71.2,2.2,"2,815",57.8,2.3,62.2,2.4,,,,,
GEORGIA,Black alone or in combination,"2,364","2,294","1,578",66.8,3.9,68.8,3.9,"1,360",57.5,4.1,59.3,4.1,,,,,
GEORGIA,Asian alone or in combination,375,235,106,28.3,9.7,45.1,13.6,71,18.8,8.4,30.0,12.5,,,,,
HAWAII,Total,"1,064",974,530,49.8,2.7,54.4,2.8,460,43.3,2.7,47.3,2.8,,,,,
HAWAII,Male,519,476,249,48.0,3.9,52.3,4.0,215,41.5,3.8,45.2,4.0,,,,,
HAWAII,Female,545,498,281,51.6,3.8,56.5,3.9,245,45.0,3.8,49.3,4.0,,,,,
HAWAII,White alone,225,220,144,63.9,5.7,65.4,5.7,129,57.4,5.8,58.7,5.9,,,,,
HAWAII,White non-Hispanic alone,209,205,138,66.3,5.8,67.5,5.8,126,60.2,6.0,61.3,6.0,,,,,
HAWAII,Black alone,24,24,16,B,B,B,B,15,B,B,B,B,,,,,
HAWAII,Asian alone,492,417,206,41.8,5.0,49.3,5.5,182,37.0,4.9,43.6,5.4,,,,,
HAWAII,Hispanic (of any race),78,74,43,B,B,B,B,36,B,B,B,B,,,,,
HAWAII,White alone or in combination,368,361,229,62.2,4.5,63.2,4.5,197,53.6,4.6,54.6,4.6,,,,,
HAWAII,Black alone or in combination,31,30,19,B,B,B,B,17,B,B,B,B,,,,,
HAWAII,Asian alone or in combination,624,548,281,45.0,4.4,51.2,4.8,246,39.4,4.4,44.8,4.7,,,,,
IDAHO,Total,"1,224","1,150",790,64.5,2.7,68.7,2.7,714,58.3,2.7,62.1,2.8,,,,,
IDAHO,Male,607,571,386,63.5,3.8,67.5,3.8,346,57.0,3.9,60.6,4.0,,,,,
IDAHO,Female,618,579,404,65.4,3.7,69.8,3.7,368,59.5,3.8,63.5,3.9,,,,,
IDAHO,White alone,"1,151","1,095",757,65.8,2.7,69.1,2.7,687,59.7,2.8,62.8,2.8,,,,,
IDAHO,White non-Hispanic alone,"1,002",994,711,70.9,2.8,71.5,2.8,647,64.6,2.9,65.1,2.9,,,,,
IDAHO,Black alone,6,5,3,B,B,B,B,2,B,B,B,B,,,,,
IDAHO,Asian alone,27,12,7,B,B,B,B,6,B,B,B,B,,,,,
IDAHO,Hispanic (of any race),163,114,55,33.5,11.3,48.0,14.3,49,29.9,11.0,42.9,14.2,,,,,
IDAHO,White alone or in combination,"1,175","1,118",770,65.5,2.7,68.9,2.7,698,59.3,2.8,62.4,2.8,,,,,
IDAHO,Black alone or in combination,8,7,3,B,B,B,B,2,B,B,B,B,,,,,
IDAHO,Asian alone or in combination,31,14,9,B,B,B,B,8,B,B,B,B,,,,,
ILLINOIS,Total,"9,723","8,970","6,665",68.5,1.6,74.3,1.5,"5,719",58.8,1.7,63.8,1.7,,,,,
ILLINOIS,Male,"4,692","4,307","3,174",67.7,2.3,73.7,2.2,"2,673",57.0,2.4,62.1,2.4,,,,,
ILLINOIS,Female,"5,031","4,663","3,490",69.4,2.2,74.9,2.1,"3,046",60.6,2.3,65.3,2.3,,,,,
ILLINOIS,White alone,"7,647","7,100","5,391",70.5,1.7,75.9,1.7,"4,636",60.6,1.9,65.3,1.9,,,,,
ILLINOIS,White non-Hispanic alone,"6,297","6,153","4,839",76.8,1.8,78.6,1.7,"4,174",66.3,2.0,67.8,2.0,,,,,
ILLINOIS,Black alone,"1,358","1,321",932,68.6,5.0,70.6,5.0,776,57.1,5.4,58.7,5.4,,,,,
ILLINOIS,Asian alone,542,391,231,42.5,8.9,58.9,10.4,200,37.0,8.7,51.3,10.6,,,,,
ILLINOIS,Hispanic (of any race),"1,490","1,073",634,42.5,6.7,59.1,7.8,527,35.4,6.5,49.2,7.9,,,,,
ILLINOIS,White alone or in combination,"7,711","7,165","5,438",70.5,1.7,75.9,1.7,"4,679",60.7,1.8,65.3,1.9,,,,,
ILLINOIS,Black alone or in combination,"1,390","1,353",963,69.3,5.0,71.2,4.9,807,58.1,5.3,59.7,5.3,,,,,
ILLINOIS,Asian alone or in combination,563,408,244,43.3,8.7,59.7,10.2,214,37.9,8.6,52.4,10.4,,,,,
INDIANA,Total,"4,988","4,795","3,298",66.1,2.2,68.8,2.2,"2,795",56.0,2.3,58.3,2.3,,,,,
INDIANA,Male,"2,426","2,306","1,595",65.7,3.2,69.2,3.2,"1,343",55.4,3.3,58.3,3.4,,,,,
INDIANA,Female,"2,562","2,490","1,704",66.5,3.1,68.4,3.1,"1,452",56.6,3.2,58.3,3.2,,,,,
INDIANA,White alone,"4,309","4,191","2,895",67.2,2.3,69.1,2.3,"2,467",57.2,2.5,58.9,2.5,,,,,
INDIANA,White non-Hispanic alone,"4,102","4,059","2,832",69.0,2.4,69.8,2.4,"2,409",58.7,2.5,59.4,2.5,,,,,
INDIANA,Black alone,473,442,284,59.9,9.0,64.2,9.1,228,48.2,9.1,51.6,9.4,,,,,
INDIANA,Asian alone,109,77,55,B,B,B,B,48,B,B,B,B,,,,,
INDIANA,Hispanic (of any race),224,138,69,30.9,15.9,50.1,22.0,63,28.3,15.5,46.0,21.9,,,,,
INDIANA,White alone or in combination,"4,378","4,260","2,949",67.4,2.3,69.2,2.3,"2,513",57.4,2.5,59.0,2.5,,,,,
INDIANA,Black alone or in combination,491,460,298,60.8,8.8,64.9,8.8,238,48.5,9.0,51.8,9.3,,,,,
INDIANA,Asian alone or in combination,130,97,72,B,B,B,B,65,B,B,B,B,,,,,
IOWA,Total,"2,394","2,292","1,657",69.2,2.6,72.3,2.5,"1,454",60.7,2.7,63.4,2.7,,,,,
IOWA,Male,"1,172","1,111",780,66.5,3.7,70.2,3.7,673,57.4,3.9,60.6,4.0,,,,,
IOWA,Female,"1,221","1,181",877,71.8,3.5,74.2,3.5,781,63.9,3.7,66.1,3.7,,,,,
IOWA,White alone,"2,201","2,159","1,587",72.1,2.6,73.5,2.6,"1,393",63.3,2.8,64.5,2.8,,,,,
IOWA,White non-Hispanic alone,"2,126","2,114","1,558",73.3,2.6,73.7,2.6,"1,370",64.4,2.8,64.8,2.8,,,,,
IOWA,Black alone,73,65,39,B,B,B,B,34,B,B,B,B,,,,,
IOWA,Asian alone,66,30,15,B,B,B,B,13,B,B,B,B,,,,,
IOWA,Hispanic (of any race),97,51,29,B,B,B,B,23,B,B,B,B,,,,,
IOWA,White alone or in combination,"2,226","2,184","1,599",71.8,2.6,73.2,2.6,"1,403",63.0,2.8,64.2,2.8,,,,,
IOWA,Black alone or in combination,84,76,39,B,B,B,B,34,B,B,B,B,,,,,
IOWA,Asian alone or in combination,68,32,17,B,B,B,B,13,B,B,B,B,,,,,
KANSAS,Total,"2,142","2,029","1,438",67.1,2.8,70.9,2.8,"1,243",58.0,3.0,61.3,3.0,,,,,
KANSAS,Male,"1,048",992,671,64.0,4.1,67.6,4.1,570,54.4,4.3,57.5,4.3,,,,,
KANSAS,Female,"1,094","1,036",767,70.1,3.8,74.0,3.8,673,61.5,4.1,64.9,4.1,,,,,
KANSAS,White alone,"1,883","1,798","1,307",69.4,2.9,72.7,2.9,"1,149",61.0,3.1,63.9,3.1,,,,,
KANSAS,White non-Hispanic alone,"1,678","1,672","1,244",74.1,3.0,74.4,3.0,"1,091",65.0,3.2,65.3,3.2,,,,,
KANSAS,Black alone,121,121,75,61.8,14.8,61.8,14.8,54,44.5,15.1,44.5,15.1,,,,,
KANSAS,Asian alone,59,31,15,B,B,B,B,7,B,B,B,B,,,,,
KANSAS,Hispanic (of any race),217,138,76,34.9,14.1,54.7,18.4,68,31.2,13.7,48.9,18.5,,,,,
KANSAS,White alone or in combination,"1,923","1,838","1,335",69.4,2.9,72.6,2.9,"1,170",60.8,3.1,63.6,3.1,,,,,
KANSAS,Black alone or in combination,136,136,82,60.4,14.0,60.4,14.0,56,41.2,14.1,41.2,14.1,,,,,
KANSAS,Asian alone or in combination,64,36,19,B,B,B,B,11,B,B,B,B,,,,,
KENTUCKY,Total,"3,348","3,246","2,253",67.3,2.7,69.4,2.7,"1,850",55.3,2.8,57.0,2.9,,,,,
KENTUCKY,Male,"1,614","1,550","1,035",64.1,4.0,66.8,4.0,861,53.3,4.1,55.5,4.2,,,,,
KENTUCKY,Female,"1,734","1,697","1,218",70.3,3.6,71.8,3.6,989,57.0,3.9,58.3,4.0,,,,,
KENTUCKY,White alone,"3,014","2,953","2,038",67.6,2.8,69.0,2.8,"1,669",55.4,3.0,56.5,3.0,,,,,
KENTUCKY,White non-Hispanic alone,"2,892","2,881","1,998",69.1,2.8,69.3,2.8,"1,634",56.5,3.1,56.7,3.1,,,,,
KENTUCKY,Black alone,250,231,187,74.9,11.0,81.2,10.3,159,63.7,12.2,69.1,12.2,,,,,
KENTUCKY,Asian alone,28,14,3,B,B,B,B,3,B,B,B,B,,,,,
KENTUCKY,Hispanic (of any race),138,79,44,B,B,B,B,38,B,B,B,B,,,,,
KENTUCKY,White alone or in combination,"3,052","2,991","2,055",67.3,2.8,68.7,2.8,"1,680",55.0,3.0,56.1,3.0,,,,,
KENTUCKY,Black alone or in combination,281,262,210,74.5,10.4,80.0,9.9,175,62.3,11.6,66.9,11.7,,,,,
KENTUCKY,Asian alone or in combination,36,23,8,B,B,B,B,8,B,B,B,B,,,,,
LOUISIANA,Total,"3,463","3,353","2,446",70.6,2.5,73.0,2.4,"2,067",59.7,2.6,61.6,2.7,,,,,
LOUISIANA,Male,"1,650","1,580","1,119",67.8,3.6,70.8,3.6,925,56.1,3.9,58.5,3.9,,,,,
LOUISIANA,Female,"1,813","1,773","1,327",73.2,3.3,74.8,3.3,"1,142",63.0,3.6,64.4,3.6,,,,,
LOUISIANA,White alone,"2,251","2,193","1,631",72.4,3.0,74.4,3.0,"1,368",60.8,3.3,62.4,3.3,,,,,
LOUISIANA,White non-Hispanic alone,"2,112","2,100","1,557",73.7,3.0,74.2,3.0,"1,311",62.1,3.3,62.5,3.3,,,,,
LOUISIANA,Black alone,"1,062","1,054",755,71.1,5.3,71.6,5.3,646,60.9,5.7,61.3,5.8,,,,,
LOUISIANA,Asian alone,101,65,26,B,B,B,B,23,B,B,B,B,,,,,
LOUISIANA,Hispanic (of any race),174,121,99,56.7,18.7,81.5,17.6,82,47.2,18.9,67.9,21.1,,,,,
LOUISIANA,White alone or in combination,"2,275","2,216","1,652",72.6,3.0,74.6,2.9,"1,386",60.9,3.2,62.5,3.3,,,,,
LOUISIANA,Black alone or in combination,"1,078","1,070",771,71.5,5.3,72.0,5.3,661,61.3,5.7,61.8,5.7,,,,,
LOUISIANA,Asian alone or in combination,103,67,26,B,B,B,B,23,B,B,B,B,,,,,
MAINE,Total,"1,058","1,038",830,78.5,2.5,80.0,2.5,754,71.3,2.8,72.7,2.8,,,,,
MAINE,Male,510,500,388,76.1,3.8,77.5,3.7,347,68.1,4.1,69.3,4.1,,,,,
MAINE,Female,548,537,442,80.7,3.4,82.3,3.3,408,74.3,3.7,75.8,3.7,,,,,
