State,Year,PARTY,Power_House,Power_Senate,Power_Total
CA,2016,DEM,3.951090568090784,0.16114290930711891,4.652062223576751
CO,2000,DEM,3.6948497489349594,,
CO,2002,DEM,5.010486231899619,,
CO,2004,DEM,3.433036898771022,1.1351910356234298,8.37111790373294
CO,2006,DEM,4.548679973071814,1.1351910356234298,9.486760978033733
CO,2008,DEM,3.064891189795138,0.9010498582423311,6.984458073149278
CO,2010,DEM,3.95823049002328,0.9733828460741036,8.192445870445631
CO,2012,DEM,2.856164766433046,0.9733828460741036,7.090380146855397
CO,2014,DEM,3.499081491108584,1.0474697582387424,8.055574939447114
CO,2016,DEM,2.591094556073322,0.8361051962474763,6.228152159749843
CT,2000,DEM,4.567983007103214,,
CT,2002,DEM,5.054032663202296,,
CT,2004,DEM,3.4995919475789123,1.4619952507084282,9.859271288160574
CT,2006,DEM,4.652292323996803,1.562801571865821,11.450479161613124
CT,2008,DEM,3.273538872292047,1.562801571865821,10.071725709908367
CT,2010,DEM,4.3928933528494944,1.7483319820184056,11.998137474629559
CT,2012,DEM,3.4094527760105446,1.5010062370561665,9.93882990720487
CT,2014,DEM,4.6822748738829265,1.5010062370561665,11.211652005077251
CT,2016,DEM,3.174234358801485,1.2869896924995528,8.77263952117454
DE,2000,DEM,3.1931436818862537,,
DE,2002,DEM,4.378187868041418,,
DE,2004,DEM,2.80863374011712,7.151400512397847,33.91722596904775
DE,2006,DEM,3.9730784206218663,8.22346442220911,39.745148657231496
DE,2008,DEM,2.5943231021877926,6.132777703673381,29.271906113167
DE,2010,DEM,3.2718658796738604,5.669448476052249,27.933966750501142
DE,2012,DEM,2.5769277352155213,5.657636607171903,27.187646976413298
DE,2014,DEM,4.317472378970455,6.312682969170434,31.77764329486184
DE,2016,DEM,2.3773297831875237,6.312682969170434,29.83750069907891
FL,2000,REP,4.589561501321395,,
FL,2002,REP,6.63735962648126,,
FL,2004,REP,4.442474749862017,0.3010546320077522,5.752062399095738
FL,2006,REP,6.490232718976558,0.3272404435155179,7.9137286482690605
FL,2008,REP,3.368740139697611,0.3272404435155179,4.792236068990114
FL,2010,REP,4.885274220212529,0.3919785509336929,6.590380916774093
FL,2012,REP,3.5935153817098584,0.2940948979534818,4.872828187807504
FL,2014,REP,5.401561051143781,0.2940948979534818,6.680873857241426
FL,2016,REP,3.0551882414630684,0.2286790253196847,4.049942001603696
GA,2000,REP,4.551808267904538,,
GA,2002,REP,6.774654661978605,,
GA,2004,REP,4.390760084478224,0.7644405203164402,7.716076347854738
GA,2006,REP,6.279261964529899,0.7644405203164402,9.604578227906412
GA,2008,REP,3.5568221490428864,0.575252686933394,6.05917133720315
GA,2010,REP,5.265972098449374,0.6341412451331642,8.024486514778637
GA,2012,REP,3.9396812291355188,0.6341412451331642,6.698195645464782
GA,2014,REP,6.072000919474425,0.7807829027283092,9.46840654634257
GA,2016,REP,3.710710860879619,0.618581252967257,6.401539311287186
HI,2000,DEM,5.87502643761897,,
HI,2002,DEM,5.555802480110227,,
HI,2004,DEM,4.801113858415152,5.256449005874082,27.666667033967407
HI,2006,DEM,5.918140283597283,5.275729402563213,28.867563184747258
HI,2008,DEM,4.786624257175748,5.275729402563213,27.736047158325725
HI,2010,DEM,5.553688899008944,5.606756141150086,29.943078113011815
HI,2012,DEM,4.733290891491673,4.993346365967349,26.45434758344964
HI,2014,DEM,5.552825416392496,5.100368884179549,27.739430062573533
HI,2016,DEM,4.84410460359481,5.192539359448345,27.43165081719511
IA,2000,REP,3.91869798908094,,
IA,2002,REP,4.9376766453819885,,
IA,2004,REP,3.428976635639,1.5985274365254727,10.382570984524806
IA,2006,REP,4.837049477211693,1.5985274365254727,11.790643826097497
IA,2008,REP,3.371169087727933,1.341315951667021,9.205893477479474
IA,2010,REP,4.518381226668209,1.5273115765253737,11.162186584553584
IA,2012,REP,2.602728049404984,1.5273115765253737,9.246533407290359
IA,2014,REP,3.570363837926904,1.7811318469491215,11.318287372155583
IA,2016,REP,2.639297155167579,1.4977144876917823,9.154355176626831
ID,2000,REP,4.0581533373238505,,
ID,2002,REP,4.937991175809769,,
ID,2004,REP,3.4939013951148272,4.3836769405441895,22.56289608648205
ID,2006,REP,4.491293627303472,4.3836769405441895,23.560288318670693
ID,2008,REP,3.1355236010861454,3.4821608897617504,18.282923471549758
ID,2010,REP,4.4728320183207195,3.6552713582074547,20.373262426523148
ID,2012,REP,3.148525388134467,3.6552713582074547,19.048955796336895
ID,2014,REP,4.596042347934194,4.511108604939664,24.21936477942173
ID,2016,REP,2.934298130558661,3.583866508140305,18.524117440968986
IL,2000,DEM,4.552332706325375,,
IL,2002,DEM,5.540754289127057,,
IL,2004,DEM,3.808634173671714,0.4635869273585941,5.825237307681598
IL,2006,DEM,5.5013336390916665,0.4635869273585941,7.5179367731015505
IL,2008,DEM,3.620292310022779,0.38199271081509223,5.28196060206843
IL,2010,DEM,5.140471500279073,0.3179564051562672,6.523581862708835
IL,2012,DEM,3.5586252872354285,0.3179564051562672,4.9417356496651905
IL,2014,DEM,5.044840221502118,0.3685285465897474,6.647939399167519
IL,2016,DEM,3.4339565264919254,0.439782892379519,5.347012108342833
IN,2000,REP,4.636618903309804,,
IN,2002,REP,5.915786802931338,,
IN,2004,REP,3.7247785929524704,0.8746147868498169,7.529352915749174
IN,2006,REP,5.399172846719883,1.0611926107036131,10.0153607032806
IN,2008,REP,3.3621607486411267,1.0611926107036131,7.978348605201843
IN,2010,REP,5.15103993772965,1.2963476700743326,10.790152302552997
IN,2012,REP,3.524234594983213,0.9292421588804305,7.566437986113085
IN,2014,REP,6.712340414106655,0.9292421588804305,10.754543805236526
IN,2016,REP,3.3855370609099498,0.7557653560183862,6.67311635958993
KS,2000,REP,3.8521580270787448,,
KS,2002,REP,4.819915892467677,,
KS,2004,REP,3.4590615738903114,2.098776832861808,12.588740796839176
KS,2006,REP,4.733016457881478,2.098776832861808,13.862695680830342
KS,2008,REP,3.310430670478076,1.709612123201488,10.747243406404548
KS,2010,REP,4.7873861948537995,1.9527607643496183,13.28189551977464
KS,2012,REP,3.781651239105299,1.9527607643496183,12.276160564026139
KS,2014,REP,4.639956755603038,2.3475790297808006,14.851925535149519
KS,2016,REP,3.407921372438095,1.9568389810152373,11.920170939854376
KY,2000,REP,4.179993298077412,,
KY,2002,REP,5.483247764205724,,
KY,2004,REP,3.6691794430552522,1.40064016258631,9.761964150305701
KY,2006,REP,4.786498245748393,1.40064016258631,10.879282952998842
KY,2008,REP,3.4288849266218624,1.1346928655902402,8.364798891939406
KY,2010,REP,4.430339555991369,1.2670589692411933,9.94204607219056
KY,2012,REP,3.4376527248840794,1.2670589692411933,8.94935924108327
KY,2014,REP,4.29299397692945,1.4326832294399212,10.525166024993107
KY,2016,REP,3.39870939675174,1.19784400058335,8.609330799289312
LA,2000,REP,5.822798919621252,,
LA,2002,REP,6.074501153287433,,
LA,2004,REP,4.527866430527651,1.2926622994070882,10.150947432948485
LA,2006,REP,7.7562498753459845,1.2926622994070882,13.379330877766819
LA,2008,REP,6.691034778087053,1.0681963238023517,11.337688786627282
LA,2010,REP,6.75710243863827,1.2651949918521443,12.260700653195098
LA,2012,REP,3.5177885773887105,1.2651949918521443,9.021386791945538
LA,2014,REP,4.261996276435919,1.4614338565997256,10.619233552644726
LA,2016,REP,3.3254704432187006,1.1745088130736925,8.434583780089262
MA,2000,DEM,4.260077746418872,,
MA,2002,DEM,5.432211165258185,,
MA,2004,DEM,3.8745348136639346,0.8683989198854234,7.652070115165526
MA,2006,DEM,5.198431944988114,0.9587157810369853,9.368845592499
MA,2008,DEM,3.8386036081338477,0.7750830937519195,7.2102150659546975
MA,2010,DEM,4.49588738701273,0.7620536889685489,7.810820934025918
MA,2012,DEM,3.112642377450082,0.6502161968854644,5.941082833901852
MA,2014,DEM,4.961914549215576,0.7631366825494489,8.28155911830568
MA,2016,DEM,3.0605082892166733,0.7631366825494489,6.380152858306776
MD,2000,DEM,4.152039377941461,,
MD,2002,DEM,4.813715237454556,,
MD,2004,DEM,3.546170025554588,0.9367503801450137,7.621034179185397
MD,2006,DEM,4.702557368260795,0.9745824036223278,8.941990824017921
MD,2008,DEM,3.202623589244309,0.9745824036223278,7.442057045001434
MD,2010,DEM,4.382428215825825,1.1065016098215297,9.195710218549479
MD,2012,DEM,3.0941623213024565,0.895440929664682,6.9893303653438235
MD,2014,DEM,4.697490424459363,0.895440929664682,8.59265846850073
MD,2016,DEM,2.9544879595382874,0.746354292516772,6.201129131986246
ME,2000,DEM,3.1328369875266096,,
ME,2002,DEM,4.038005709740074,,
ME,2004,DEM,2.816203307349164,3.509476903693812,18.082427838417246
ME,2006,DEM,3.7322833176266412,3.813591640607124,20.32140695426763
ME,2008,DEM,2.8165007513015756,3.153551963835066,16.53445179398411
