1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
390,SC,South Carolina,S   (Full Term),S4SC00349,,Benjamin ,Dunn,"Dunn, Benjamin ",,R,"3,209",1.01%,,,,,,,,,,,,
391,SC,South Carolina,S   (Full Term),n/a,,,,,Party Votes:,R,"316,989",,,,,,,,,,,,,
392,SC,South Carolina,S   (Full Term),S4SC00364,,Brad,Hutto,"Hutto, Brad",,WF,*,,,,"24,207",1.95%,,,"480,933",38.78%,,"* The American Party and the Libertarian Party each nominated by convention on May 10, 2014, and the Working Families Party nominated by convention on August 14, 2014.  Convention nominees are noted with an asterisk.",,
393,SC,South Carolina,S   (Full Term),S4SC00364,,Brad,Hutto,"Hutto, Brad",,D,"87,552",76.65%,,,"456,726",36.83%,,,"480,933",38.78%,,,,
394,SC,South Carolina,S   (Full Term),S4SC00257,,Jay,Stamper,"Stamper, Jay",,D,"26,678",23.35%,,,,,,,,,,,,
395,SC,South Carolina,S   (Full Term),n/a,,,,,Party Votes:,D,"114,230",,,,,,,,,,,,,
396,SC,South Carolina,S   (Full Term),S2SC00079,,Victor,Kocher,"Kocher, Victor",,LIB,*,,,,"33,839",2.73%,,,,,,"* The American Party and the Libertarian Party each nominated by convention on May 10, 2014, and the Working Families Party nominated by convention on August 14, 2014.  Convention nominees are noted with an asterisk.",,
397,SC,South Carolina,S   (Full Term),S4SC00109,,Thomas,Ravenel,"Ravenel, Thomas",,PET,,,,,"47,588",3.84%,,,,,,,,
398,SC,South Carolina,S   (Full Term),n/a,,,Scattered,Scattered,,W,,,,,"4,774",0.38%,,,,,,,,
399,SC,South Carolina,S   (Full Term),n/a,,,,,Total State Votes (Full Term):,,"431,219",,,,"1,240,075",,,,,,,,,
400,,,,n/a,,,,,,,,,,,,,,,,,,,,
401,SC,South Carolina,S   (Unexpired Term),S4SC00240,(I),Tim,Scott,"Scott, Tim",,R,"276,147",89.98%,,,"757,215",61.12%,,,,,W,,,
402,SC,South Carolina,S   (Unexpired Term),S4SC00380,,Randall ,Young,"Young, Randall ",,R,"30,741",10.02%,,,,,,,,,,,,
403,SC,South Carolina,S   (Unexpired Term),n/a,,,,,Party Votes:,R,"306,888",,,,,,,,,,,,,
404,SC,South Carolina,S   (Unexpired Term),S4SC00307,,Joyce,Dickerson,"Dickerson, Joyce",,D,"72,874",65.39%,,,"459,583",37.09%,,,,,,,,
405,SC,South Carolina,S   (Unexpired Term),S4SC00372,,Sidney ,Moore,"Moore, Sidney ",,D,"26,310",23.61%,,,,,,,,,,,,
406,SC,South Carolina,S   (Unexpired Term),S2SC00087,,Harry ,Pavilack,"Pavilack, Harry ",,D,"12,253",11.00%,,,,,,,,,,,,
407,SC,South Carolina,S   (Unexpired Term),n/a,,,,,Party Votes:,D,"111,437",,,,,,,,,,,,,
408,SC,South Carolina,S   (Unexpired Term),S4SC00356,,Jill,Bossi,"Bossi, Jill",,AM,*,,,,"21,652",1.75%,,,,,,"* The American Party and the Libertarian Party each nominated by convention on May 10, 2014, and the Working Families Party nominated by convention on August 14, 2014.  Convention nominees are noted with an asterisk.",,
409,SC,South Carolina,S   (Unexpired Term),n/a,,,Scattered,Scattered,,W,,,,,532,0.04%,,,,,,,,
410,SC,South Carolina,S   (Unexpired Term),n/a,,,,,Total State Votes (Unexpired Term):,,"418,325",,,,"1,238,982",,,,,,,,,
411,,,,n/a,,,,,,,,,,,,,,,,,,,,
412,SD,South Dakota,S,S4SD00049 ,,Mike ,Rounds,"Rounds, Mike ",,R,"41,377",55.54%,,,"140,741",50.37%,,,,,W,,,
413,SD,South Dakota,S,S4SD00072 ,,Larry,Rhoden,"Rhoden, Larry",,R,"13,593",18.25%,,,,,,,,,,,,
414,SD,South Dakota,S,S4SD00080,,Stace,Nelson,"Nelson, Stace",,R,"13,179",17.69%,,,,,,,,,,,,
415,SD,South Dakota,S,S4SD00064,,Annette ,Bosworth,"Bosworth, Annette ",,R,"4,283",5.75%,,,,,,,,,,,,
416,SD,South Dakota,S,S4SD00098,,Jason ,Ravnsborg,"Ravnsborg, Jason ",,R,"2,066",2.77%,,,,,,,,,,,,
417,SD,South Dakota,S,n/a,,,,,Party Votes:,R,"74,498",,,,,,,,,,,,,
418,SD,South Dakota,S,S4SD00056,,Rick ,Weiland,"Weiland, Rick ",,D,Unopposed,,,,"82,456",29.51%,,,,,,,,
419,SD,South Dakota,S,S8SD00024 ,,Larry,Pressler,"Pressler, Larry",,IND,,,,,"47,741",17.09%,,,,,,,,
420,SD,South Dakota,S,S4SD00106,,Gordon,Howie,"Howie, Gordon",,IND,,,,,"8,474",3.03%,,,,,,,,
421,SD,South Dakota,S,n/a,,,,,Total State Votes:,,"74,498",,,,"279,412",,,,,,,,,
422,,,,n/a,,,,,,,,,,,,,,,,,,,,
423,TN,Tennessee,S,S2TN00058,(I),Lamar,Alexander,"Alexander, Lamar",,R,"331,705",49.65%,,,"850,087",61.87%,,,,,W,,,
424,TN,Tennessee,S,S4TN00302,,Joe ,Carr,"Carr, Joe ",,R,"271,324",40.61%,,,,,,,,,,,,
425,TN,Tennessee,S,S4TN00377,,George Shea,Flinn,"Flinn, George Shea",,R,"34,668",5.19%,,,,,,,,,,,,
426,TN,Tennessee,S,S4TN00369,,Christian,Agnew,"Agnew, Christian",,R,"11,320",1.69%,,,,,,,,,,,,
427,TN,Tennessee,S,S4TN00393,,Brenda S.,Lenard,"Lenard, Brenda S.",,R,"7,908",1.18%,,,,,,,,,,,,
428,TN,Tennessee,S,S4TN00385,,John D.,King,"King, John D.",,R,"7,748",1.16%,,,,,,,,,,,,
429,TN,Tennessee,S,S4TN00419,,Erin Kent,Magee,"Magee, Erin Kent",,R/W,"3,366",,,,5,0.00%,,,,,,,,
430,TN,Tennessee,S,n/a,,,,,Party Votes:,R,"668,039",,,,,,,,,,,,,
431,TN,Tennessee,S,S4TN00351,,Gordon,Ball,"Ball, Gordon",,D,"87,829",36.45%,,,"437,848",31.87%,,,,,,,,
432,TN,Tennessee,S,S4TN00328,,Terry,Adams,"Adams, Terry",,D,"85,794",35.61%,,,,,,,,,,,,
433,TN,Tennessee,S,S2TN00082,,Gary Gene,Davis,"Davis, Gary Gene",,D,"42,549",17.66%,,,,,,,,,,,,
434,TN,Tennessee,S,S2TN00223,,Larry ,Crim,"Crim, Larry ",,D,"24,777",10.28%,,,,,,,,,,,,
435,TN,Tennessee,S,n/a,,,,,Party Votes:,D,"240,949",,,,,,,,,,,,,
436,TN,Tennessee,S,S4TN00492,,Joe,Wilmoth,"Wilmoth, Joe",,CON,,,,,"36,088",2.63%,,,,,,,,
437,TN,Tennessee,S,S2TN00355,,Martin,Pleasant,"Pleasant, Martin",,GRE,,,,,"12,570",0.91%,,,,,,,,
438,TN,Tennessee,S,S4TN00427,,"Tom, Jr. ",Emerson,"Emerson, Tom, Jr. ",,IND,,,,,"11,157",0.81%,,,,,,,,
439,TN,Tennessee,S,S4TN00310,,Danny,Page,"Page, Danny",,IND,,,,,"7,713",0.56%,,,,,,,,
440,TN,Tennessee,S,S4TN00484,,Rick,Tyler,"Tyler, Rick",,IND,,,,,"5,759",0.42%,,,,,,,,
441,TN,Tennessee,S,S4TN00435,,Joshua,James,"James, Joshua",,IND,,,,,"5,678",0.41%,,,,,,,,
442,TN,Tennessee,S,S4TN00450,,Bartholomew J.,Phillips,"Phillips, Bartholomew J.",,IND,,,,,"2,386",0.17%,,,,,,,,
443,TN,Tennessee,S,S4TN00336,,Edmund L.,Gauthier,"Gauthier, Edmund L.",,IND,,,,,"2,314",0.17%,,,,,,,,
444,TN,Tennessee,S,S4TN00476,,Eric,Schechter,"Schechter, Eric",,IND,,,,,"1,673",0.12%,,,,,,,,
445,TN,Tennessee,S,S4TN00468,,C.,Salekin,"Salekin, C.",,IND,,,,,787,0.06%,,,,,,,,
446,TN,Tennessee,S,n/a,,,,,Total State Votes:,,"908,988",,,,"1,374,065",,,,,,,,,
447,,,,n/a,,,,,,,,,,,,,,,,,,,,
448,TX,Texas,S,S2TX00106,(I),John,Cornyn,"Cornyn, John",,R,"781,259",59.43%,,,"2,861,531",61.56%,,,,,W,,,
449,TX,Texas,S,S4TX00524,,Steve,Stockman,"Stockman, Steve",,R,"251,577",19.14%,,,,,,,,,,,,
450,TX,Texas,S,S4TX00433,,Dwayne,Stovall,"Stovall, Dwayne",,R,"140,794",10.71%,,,,,,,,,,,,
451,TX,Texas,S,S4TX00466,,Linda,Vega,"Vega, Linda",,R,"50,057",3.81%,,,,,,,,,,,,
452,TX,Texas,S,S4TX00532,,Ken,Cope,"Cope, Ken",,R,"34,409",2.62%,,,,,,,,,,,,
453,TX,Texas,S,S4TX00508,,Chris,Mapp,"Mapp, Chris",,R,"23,535",1.79%,,,,,,,,,,,,
454,TX,Texas,S,S4TX00490,,Reid,Reasor,"Reasor, Reid",,R,"20,600",1.57%,,,,,,,,,,,,
455,TX,Texas,S,S2TX00387,,Curt,Cleaver,"Cleaver, Curt",,R,"12,325",0.94%,,,,,,,,,,,,
456,TX,Texas,S,n/a,,,,,Party Votes:,R,"1,314,556",,,,,,,,,,,,,
457,TX,Texas,S,S4TX00516,,David M.,Alameel,"Alameel, David M.",,D,"239,914",47.04%,"145,227",72.15%,"1,597,387",34.36%,,,,,,,,
458,TX,Texas,S,S4TX00482,,Kesha,Rogers,"Rogers, Kesha",,D,"110,146",21.60%,"56,056",27.85%,,,,,,,,,,
459,TX,Texas,S,S4TX00458,,Maxey Marie,Scherr,"Scherr, Maxey Marie",,D,"90,359",17.72%,,,,,,,,,,,,
460,TX,Texas,S,S4TX00540,,Harry,Kim,"Kim, Harry",,D,"45,207",8.86%,,,,,,,,,,,,
461,TX,Texas,S,S4TX00474,,"Michael ""Fjet""",Fjetland,"Fjetland, Michael ""Fjet""",,D,"24,383",4.78%,,,,,,,,,,,,
462,TX,Texas,S,n/a,,,,,Party Votes:,D,"510,009",,"201,283",,,,,,,,,,,
463,TX,Texas,S,S4TX00573,,Rebecca,Paddock,"Paddock, Rebecca",,LIB,*,,,,"133,751",2.88%,,,,,,"* The Green and Libertarian Parties nominated by convention on April 12, 2014, for U.S. Senate.   Convention nominees are noted with an asterisk.",,
464,TX,Texas,S,S4TX00565,,Tanuja,Parachuri,"Parachuri, Tanuja",,LIB,,,,,,,,,,,,"* The Green and Libertarian Parties nominated by convention on April 12, 2014, for U.S. Senate.   Convention nominees are noted with an asterisk.",,
465,TX,Texas,S,S8TX00244,,Jon,Roland,"Roland, Jon",,LIB,,,,,,,,,,,,"* The Green and Libertarian Parties nominated by convention on April 12, 2014, for U.S. Senate.   Convention nominees are noted with an asterisk.",,
466,TX,Texas,S,S4TX00557 ,,"Emily ""Spicybrown""",Sanchez,"Sanchez, Emily ""Spicybrown""",,GRE,*,,,,"54,701",1.18%,,,,,,"* The Green and Libertarian Parties nominated by convention on April 12, 2014, for U.S. Senate.   Convention nominees are noted with an asterisk.",,
467,TX,Texas,S,S4TX00581,,Mohammed,Tahiro,"Tahiro, Mohammed",,W,,,,,988,0.02%,,,,,,,,
468,TX,Texas,S,n/a,,,,,Total State Votes:,,"1,824,565",,"201,283",,"4,648,358",,,,,,,,,
469,,,,n/a,,,,,,,,,,,,,,,,,,,,
470,VA,Virginia,S,S6VA00093,(I),Mark R.,Warner,"Warner, Mark R.",,D,Unopposed,,,,"1,073,667",49.15%,,,,,W,,,
471,VA,Virginia,S,S4VA00155,,Ed W.,Gillespie,"Gillespie, Ed W.",,R,"1,616**",60.07%,,,"1,055,940",48.34%,,,,,,"* In Virginia, the political parties may choose to nominate by convention rather than by primary election.  The Republican Party selected its U.S. Senate nominee at a convention held on June 7, 2014.  The Republican vote totals are from the convention, and the nominee is noted with two asterisks.",,
472,VA,Virginia,S,S4VA00148,,Shak,Hill,"Hill, Shak",,R,"1,040*",38.66%,,,,,,,,,,"* In Virginia, the political parties may choose to nominate by convention rather than by primary election.  The Republican Party selected its U.S. Senate nominee at a convention held on June 7, 2014.  The Republican vote totals are from the convention, and the nominee is noted with two asterisks.",,
473,VA,Virginia,S,S4VA00163,,Tony,DeTora,"DeTora, Tony",,R,20*,0.74%,,,,,,,,,,"* In Virginia, the political parties may choose to nominate by convention rather than by primary election.  The Republican Party selected its U.S. Senate nominee at a convention held on June 7, 2014.  The Republican vote totals are from the convention, and the nominee is noted with two asterisks.",,
474,VA,Virginia,S,S4VA00171,,Chuck,Moss,"Moss, Chuck",,R,14*,0.52%,,,,,,,,,,"* In Virginia, the political parties may choose to nominate by convention rather than by primary election.  The Republican Party selected its U.S. Senate nominee at a convention held on June 7, 2014.  The Republican vote totals are from the convention, and the nominee is noted with two asterisks.",,
475,VA,Virginia,S,n/a,,,,,Party Votes:,R,"2,690*",,,,,,,,,,,"* In Virginia, the political parties may choose to nominate by convention rather than by primary election.  The Republican Party selected its U.S. Senate nominee at a convention held on June 7, 2014.  The Republican vote totals are from the convention, and the nominee is noted with two asterisks.",,
476,VA,Virginia,S,S4VA00189,,Robert C.,Sarvis,"Sarvis, Robert C.",,LIB,,,,,"53,102",2.43%,,,,,,,,
477,VA,Virginia,S,n/a,,,Scattered,Scattered,,W,,,,,"1,764",0.08%,,,,,,,,
478,VA,Virginia,S,n/a,,,,,Total State Votes:,,"2,690*",,,,"2,184,473",,,,,,,,,
479,,,,n/a,,,,,,,,,,,,,,,,,,,,
480,WV,West Virginia,S,S4WV00159 ,,Shelly Moore,Capito,"Capito, Shelly Moore",,R,"74,655",87.50%,,,"281,820",62.12%,,,,,W,,,
481,WV,West Virginia,S,S4WV00209 ,,Matthew ,Dodrill,"Dodrill, Matthew ",,R,"7,072",8.29%,,,,,,,,,,,,
482,WV,West Virginia,S,S4WV00241,,Larry Eugene,Butcher,"Butcher, Larry Eugene",,R,"3,595",4.21%,,,,,,,,,,,,
483,WV,West Virginia,S,n/a,,,,,Party Votes:,R,"85,322",,,,,,,,,,,,,
484,WV,West Virginia,S,S4WV00183 ,,Natalie ,Tennant,"Tennant, Natalie ",,D,"104,598",77.95%,,,"156,360",34.46%,,,,,,,,
485,WV,West Virginia,S,S4WV00225,,Dennis,Melton,"Melton, Dennis",,D,"15,817",11.79%,,,,,,,,,,,,
486,WV,West Virginia,S,S4WV00233,,David B.,Wamsley,"Wamsley, David B.",,D,"13,773",10.26%,,,,,,,,,,,,
487,WV,West Virginia,S,n/a,,,,,Party Votes:,D,"134,188",,,,,,,,,,,,,
488,WV,West Virginia,S,S4WV00266,,John S.,Buckley,"Buckley, John S.",,LIB,*,,,,"7,409",1.63%,,,,,,"* The Libertarian Party nominated by convention on March 8, 2014, and the Mountain Party nominated by convention on July 19, 2014.  Convention nominees are noted with an asterisk.",,
489,WV,West Virginia,S,S2WV00070,,Bob Henry,Baber,"Baber, Bob Henry",,MTP,*,,,,"5,504",1.21%,,,,,,"* The Libertarian Party nominated by convention on March 8, 2014, and the Mountain Party nominated by convention on July 19, 2014.  Convention nominees are noted with an asterisk.",,
490,WV,West Virginia,S,S4WV00274,,Phil,Hudok,"Hudok, Phil",,CON,,,,,"2,566",0.57%,,,,,,,,
491,WV,West Virginia,S,S4WV00308,,Alex Wolf,Weinstein,"Weinstein, Alex Wolf",,W,,,,,10,0.00%,,,,,,,,
492,WV,West Virginia,S,S4WV00290,,Roger,Smith,"Smith, Roger",,W,,,,,8,0.00%,,,,,,,,
493,WV,West Virginia,S,S4WV00282,,Dino,Battista,"Battista, Dino",,W,,,,,7,0.00%,,,,,,,,
494,WV,West Virginia,S,S4WV00241,,Larry Eugene,Butcher,"Butcher, Larry Eugene",,W,,,,,5,0.00%,,,,,,,,
495,WV,West Virginia,S,n/a,,,,,,,,,,,,,,,,,,,,
496,WV,West Virginia,S,n/a,,,,,Total State Votes:,,"219,510",,,,"453,689",,,,,,,,,
497,,,,n/a,,,,,,,,,,,,,,,,,,,,
498,WY,Wyoming,S,S6WY00126 ,(I),Mike,Enzi,"Enzi, Mike",,R,"77,965",81.82%,,,"121,554",72.19%,,,,,W,,,
499,WY,Wyoming,S,S4WY00147,,Bryan E. ,Miller,"Miller, Bryan E. ",,R,"9,330",9.79%,,,,,,,,,,,,
500,WY,Wyoming,S,S4WY00139,,James 'Coaltrain',Gregory,"Gregory, James 'Coaltrain'",,R,"3,740",3.92%,,,,,,,,,,,,
501,WY,Wyoming,S,S2WY00117,,Thomas,Bleming,"Bleming, Thomas",,R,"2,504",2.63%,,,,,,,,,,,,
502,WY,Wyoming,S,S4WY00121 ,,Arthur Bruce,Clifton,"Clifton, Arthur Bruce",,R,"1,403",1.47%,,,,,,,,,,,,
503,WY,Wyoming,S,n/a,,,Scattered,Scattered,,W(R),346,0.36%,,,,,,,,,,,,
504,WY,Wyoming,S,n/a,,,,,Party Votes:,R,"95,288",,,,,,,,,,,,,
505,WY,Wyoming,S,S4WY00097 ,,Charlie,Hardy,"Hardy, Charlie",,D,"7,200",47.73%,,,"29,377",17.45%,,,,,,,,
506,WY,Wyoming,S,S4WY00113 ,,Rex,Wilde,"Wilde, Rex",,D,"3,012",19.97%,,,,,,,,,,,,
507,WY,Wyoming,S,S4WY00030,,Al,Hamburg,"Hamburg, Al",,D,"2,988",19.81%,,,,,,,,,,,,
508,WY,Wyoming,S,S2WY00091,,William,Bryk,"Bryk, William",,D,"1,670",11.07%,,,,,,,,,,,,
509,WY,Wyoming,S,n/a,,,Scattered,Scattered,,W(D),216,1.43%,,,,,,,,,,,,
510,WY,Wyoming,S,n/a,,,,,Party Votes:,D,"15,086",,,,,,,,,,,,,
511,WY,Wyoming,S,S4WY00105,,Curt,Gottshall,"Gottshall, Curt",,IND,,,,,"13,311",7.90%,,,,,,,,
512,WY,Wyoming,S,S4WY00154,,Joseph S.,Porambo,"Porambo, Joseph S.",,LIB,,,,,"3,677",2.18%,,,,,,,,
513,WY,Wyoming,S,n/a,,,Scattered,Scattered,,W,,,,,471,0.28%,,,,,,,,
514,WY,Wyoming,S,n/a,,,,,Total State Votes:,,"110,374",,,,"168,390",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
