1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
39,CO,Colorado,S,S4CO00411,,Bill,Hammons,"Hammons, Bill",,UPC,,,,,"6,427",0.31%,,,,,,,,
40,CO,Colorado,S,S4CO00429,,,Willoughby,Willoughby,,W,,,,,21,0.00%,,,,,,,,
41,CO,Colorado,S,S4CO00437,,Kathleen Rosewater,Cunningham,"Cunningham, Kathleen Rosewater",,W,,,,,17,0.00%,,,,,,,,
42,CO,Colorado,S,n/a,,,,,Total State Votes:,,"552,070",,,,"2,041,058",,,,,,,,,
43,,,,n/a,,,,,,,,,,,,,,,,,,,,
44,DE,Delaware,S,S0DE00092,(I),Christopher A.,Coons,"Coons, Christopher A.",,D,Unopposed,,,,"130,655",55.83%,,,,,W,,,
45,DE,Delaware,S,S2DE00064,,Kevin,Wade,"Wade, Kevin",,R,"18,181",75.66%,,,"98,823",42.23%,,,,,,,,
46,DE,Delaware,S,S4DE00052,,Carl,Smink,"Smink, Carl",,R,"5,848",24.34%,,,,,,,,,,,,
47,DE,Delaware,S,n/a,,,,,Party Votes:,R,"24,029",,,,,,,,,,,,,
48,DE,Delaware,S,S2DE00098,,Andrew,Groff,"Groff, Andrew",,GRE,,,,,"4,560",1.95%,,,,,,,,
49,DE,Delaware,S,n/a,,,,,Total State Votes:,,"24,029",,,,"234,038",,,,,,,,,
50,,,,n/a,,,,,,,,,,,,,,,,,,,,
51,GA,Georgia,S,S4GA11285,,David Alfred,Perdue,"Perdue, David Alfred",,R,"185,466",30.64%,"245,951",50.88%,"1,358,088",52.89%,,,,,W,,,
52,GA,Georgia,S,S4GA11210,,"J. H. ""Jack""",Kingston,"Kingston, J. H. ""Jack""",,R,"156,157",25.80%,"237,448",49.12%,,,,,,,,,,
53,GA,Georgia,S,S4GA11244,,Karen C.,Handel,"Handel, Karen C.",,R,"132,944",21.96%,,,,,,,,,,,,
54,GA,Georgia,S,S2GA00100,,"J. P. ""Phil""",Gingrey,"Gingrey, J. P. ""Phil""",,R,"60,735",10.03%,,,,,,,,,,,,
55,GA,Georgia,S,S6GA00101,,Paul Collins,Broun,"Broun, Paul Collins",,R,"58,297",9.63%,,,,,,,,,,,,
56,GA,Georgia,S,S4GA11236,,Derrick E.,Grayson,"Grayson, Derrick E.",,R,"6,045",1.00%,,,,,,,,,,,,
57,GA,Georgia,S,S4GA11301,,"Arthur A. ""Art""",Gardner,"Gardner, Arthur A. ""Art""",,R,"5,711",0.94%,,,,,,,,,,,,
58,GA,Georgia,S,n/a,,,,,Party Votes:,R,"605,355",,"483,399",,,,,,,,,,,
59,GA,Georgia,S,S4GA11277,,Mary Michelle,Nunn,"Nunn, Mary Michelle",,D,"246,369",74.95%,,,"1,160,811",45.21%,,,,,,,,
60,GA,Georgia,S,S4GA11293,,"O. ""Steen""",Miles,"Miles, O. ""Steen""",,D,"39,418",11.99%,,,,,,,,,,,,
61,GA,Georgia,S,S4GA11251,,Todd Anthony,Robinson,"Robinson, Todd Anthony",,D,"31,822",9.68%,,,,,,,,,,,,
62,GA,Georgia,S,S4GA11228,,"Branko ""Rad""",Radulovacki,"Radulovacki, Branko ""Rad""",,D,"11,101",3.38%,,,,,,,,,,,,
63,GA,Georgia,S,n/a,,,,,Party Votes:,D,"328,710",,,,,,,,,,,,,
64,GA,Georgia,S,S4GA11327 ,,Amanda C.,Swafford,"Swafford, Amanda C.",,LIB,,,,,"48,862",1.90%,,,,,,,,
65,GA,Georgia,S,S4GA11335,,Anantha Reddy,Muscu,"Muscu, Anantha Reddy",,W,,,,,21,0.00%,,,,,,,,
66,GA,Georgia,S,S4GA11343,,Mary H.,Schroder,"Schroder, Mary H.",,W,,,,,14,0.00%,,,,,,,,
67,GA,Georgia,S,S0GA00336,,Brian Russell,Brown,"Brown, Brian Russell",,W,,,,,9,0.00%,,,,,,,,
68,GA,Georgia,S,n/a,,,,,Total State Votes:,,"934,065",,"483,399",,"2,567,805",,,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,,,
70,HI,Hawaii,S - Unexpired Term,S4HI00136,(I),Brian,Schatz,"Schatz, Brian",,D,"115,445",49.35%,,,"246,827",69.77%,,,,,W,,,
71,HI,Hawaii,S - Unexpired Term,S4HI00144,,Colleen Wakako,Hanabusa,"Hanabusa, Colleen Wakako",,D,"113,663",48.58%,,,,,,,,,,,,
72,HI,Hawaii,S - Unexpired Term,S4HI00078,,Brian,Evans,"Evans, Brian",,D,"4,842",2.07%,,,,,,,,,,,,
73,HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,D,"233,950",,,,,,,,,,,,,
74,HI,Hawaii,S - Unexpired Term,S4HI00102,,Cam,Cavasso,"Cavasso, Cam",,R,"25,874",72.26%,,,"98,006",27.70%,,,,,,,,
75,HI,Hawaii,S - Unexpired Term,S0HI00183,,John P.,Roco,"Roco, John P.",,R,"4,425",12.36%,,,,,,,,,,,,
76,HI,Hawaii,S - Unexpired Term,S8HI00111,,"Harry J., Jr.",Friel,"Friel, Harry J., Jr.",,R,"3,477",9.71%,,,,,,,,,,,,
77,HI,Hawaii,S - Unexpired Term,S6HI00222,,Eddie,Pirkowski,"Pirkowski, Eddie",,R,"2,033",5.68%,,,,,,,,,,,,
78,HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,R,"35,809",,,,,,,,,,,,,
