STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
NEBRASKA,65+,293,290,245,83.5,4.8,84.4,4.7,230,78.6,5.3,79.5,5.2,,,,,
NEVADA,Total,"2,234","1,975","1,371",61.4,2.7,69.4,2.7,"1,195",53.5,2.8,60.5,2.9,,,,,
NEVADA,18 to 24,261,229,124,47.3,8.1,53.9,8.6,98,37.6,7.8,42.9,8.5,,,,,
NEVADA,25 to 34,415,361,222,53.3,6.4,61.4,6.7,183,43.9,6.4,50.6,6.9,,,,,
NEVADA,35 to 44,365,305,220,60.3,6.7,72.1,6.7,186,50.9,6.8,60.9,7.3,,,,,
NEVADA,45 to 64,774,678,480,62.0,4.6,70.8,4.6,431,55.6,4.7,63.5,4.8,,,,,
NEVADA,65+,418,402,326,78.1,5.3,81.1,5.1,297,71.2,5.8,74.0,5.7,,,,,
NEW HAMPSHIRE,Total,"1,044","1,012",763,73.1,2.5,75.4,2.5,698,66.9,2.7,69.0,2.6,,,,,
NEW HAMPSHIRE,18 to 24,98,96,66,B,B,B,B,55,B,B,B,B,,,,,
NEW HAMPSHIRE,25 to 34,157,149,103,65.4,6.9,68.8,6.9,89,56.9,7.2,59.8,7.3,,,,,
NEW HAMPSHIRE,35 to 44,164,154,109,66.3,6.7,70.4,6.7,102,62.5,6.9,66.3,6.9,,,,,
NEW HAMPSHIRE,45 to 64,396,386,310,78.1,3.8,80.1,3.7,287,72.3,4.1,74.2,4.1,,,,,
NEW HAMPSHIRE,65+,228,225,175,76.9,5.1,77.8,5.0,165,72.3,5.4,73.2,5.4,,,,,
NEW JERSEY,Total,"6,862","5,958","4,165",60.7,1.9,69.9,2.0,"3,665",53.4,2.0,61.5,2.1,,,,,
NEW JERSEY,18 to 24,849,750,419,49.4,5.7,55.9,6.0,305,35.9,5.4,40.7,5.9,,,,,
NEW JERSEY,25 to 34,"1,046",814,507,48.5,5.1,62.3,5.6,426,40.7,5.0,52.3,5.8,,,,,
NEW JERSEY,35 to 44,"1,110",881,631,56.8,4.9,71.6,5.0,566,51.0,4.9,64.3,5.3,,,,,
NEW JERSEY,45 to 64,"2,474","2,196","1,615",65.3,3.2,73.5,3.1,"1,472",59.5,3.3,67.0,3.3,,,,,
NEW JERSEY,65+,"1,383","1,317",994,71.8,4.0,75.4,3.9,896,64.8,4.2,68.0,4.2,,,,,
NEW MEXICO,Total,"1,547","1,396",916,59.2,2.5,65.6,2.6,765,49.4,2.6,54.8,2.7,,,,,
NEW MEXICO,18 to 24,241,223,120,49.7,6.6,53.8,6.8,91,37.8,6.4,40.9,6.7,,,,,
NEW MEXICO,25 to 34,215,196,109,50.5,7.0,55.5,7.2,77,36.0,6.7,39.5,7.1,,,,,
NEW MEXICO,35 to 44,233,183,117,50.2,6.7,63.8,7.2,94,40.3,6.6,51.2,7.5,,,,,
NEW MEXICO,45 to 64,549,500,332,60.4,4.3,66.3,4.3,283,51.5,4.4,56.6,4.5,,,,,
NEW MEXICO,65+,309,294,239,77.3,4.9,81.2,4.6,220,71.1,5.3,74.7,5.2,,,,,
