State,District,Year,Cluster,Power_House,Power_Senate,Power_Total
TX,10.0,2004,Rural,4.316987778607599,0.37069081198339604,5.929492810735372
TX,10.0,2006,Rural,5.657548584198467,0.4530691185257131,7.628399249785319
TX,10.0,2008,Rural,3.0022546932746494,0.32715185358515086,4.425365256370055
TX,10.0,2010,Rural,4.460880310120399,0.32715185358515086,5.883990873215805
TX,10.0,2012,Rural,3.7876061950086926,0.253535280099756,4.890484663442631
TX,10.0,2014,Rural,5.66700668706789,0.3196629473882738,7.057540508206881
TX,10.0,2016,Rural,3.198976327575176,0.3196629473882738,4.589510148714167
TX,11.0,2000,Rural,5.183549487346956,,
TX,11.0,2002,Rural,6.903359865246416,,
TX,11.0,2004,Rural,4.329435398329704,0.37069081198339604,5.9419404304574766
TX,11.0,2006,Rural,9.322444717902822,0.4530691185257131,11.293295383489674
TX,11.0,2008,Rural,4.658182563491028,0.32715185358515086,6.081293126586434
TX,11.0,2010,Rural,6.4374919531350585,0.32715185358515086,7.860602516230465
TX,11.0,2012,Rural,4.424328497542286,0.253535280099756,5.527206965976224
TX,11.0,2014,Rural,8.363022061652199,0.3196629473882738,9.75355588279119
TX,11.0,2016,Rural,4.4336460531682835,0.3196629473882738,5.824179874307275
TX,12.0,2000,Suburban,5.321526639562357,,
TX,12.0,2002,Suburban,7.579719701965422,,
TX,12.0,2004,Suburban,4.174702969883692,0.37069081198339604,5.787208002011465
TX,12.0,2006,Suburban,6.805730425017865,0.4530691185257131,8.776581090604717
TX,12.0,2008,Suburban,3.720874852095225,0.32715185358515086,5.143985415190631
TX,12.0,2010,Suburban,6.539495281754154,0.32715185358515086,7.96260584484956
TX,12.0,2012,Suburban,4.036946130990828,0.253535280099756,5.139824599424767
TX,12.0,2014,Suburban,6.3000063000063,0.3196629473882738,7.690540121145291
TX,12.0,2016,Suburban,3.5321335852921956,0.3196629473882738,4.922667406431186
TX,13.0,2000,Rural,5.731480154749964,,
TX,13.0,2002,Rural,6.639268618169022,,
TX,13.0,2004,Rural,4.872320832582184,0.37069081198339604,6.484825864709957
TX,13.0,2006,Rural,6.877768301741451,0.4530691185257131,8.848618967328303
