STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
MN,S,,"Schramm, Derek",CON,536,,,,,,,,,,,,,,,,,
MN,S,,"Swan, David",CON,897,,"8,915",,,,,,,,,,,,,,,
MN,S,,"Askew, Fred H.",IDP,466,,,,,,,,,,,,,,,,,
MN,S,,"Davis, Leslie",IDP,"1,419",,,,,,,,,,,,,,,,,
MN,S,,"Gibson, James (Jim)",IDP,"2,631",,"140,583",,,,,,,,,,,,,,,
MN,S,,"Johnson, Buford",IDP,"1,108",,,,,,,,,,,,,,,,,
MN,S,,"Daniels, David",GRT,,,"21,447",,,,,,,,,,,,,,,
MN,S,,"Pakieser, Erik D.",LBT,,,"6,588",,,,,,,,,,,,,,,
MN,S,,"Ellis, Rebecca",SWP,,,"12,956",,,,,,,,,,,,,,,
MN,S,,"Savior, Ole’",W,,,4,,,,,,,,,,,,,,,
MO,S,,"Carnahan, Mel",D,"323,841",,"1,191,812",,,,,,,,,,,,,,,
MO,S,,"Wagganer, Ronald William",D,"90,251",,,,,,,,,,,,,,,,,
MO,S,(I),"Ashcroft, John",R,"327,442",,"1,142,852",,,,,,,,,,,,,,,
MO,S,,"Perkel, Marc",R,"38,103",,,,,,,,,,,,,,,,,
MO,S,,"Stauffer, Grant Samuel",LBT,"1,730",,"10,198",,,,,,,,,,,,,,,
MO,S,,"Foley, Hugh",REF,294,,"4,166",,,,,,,,,,,,,,,
MO,S,,"Hall, James M.",REF,269,,,,,,,,,,,,,,,,,
MO,S,,"Lindstedt, Martin",REF,186,,,,,,,,,,,,,,,,,
MO,S,,"Dockins, Charles",NL,,,"1,933",,,,,,,,,,,,,,,
MO,S,,"Taylor, Evaline",GRN,,,"10,612",,,,,,,,,,,,,,,
MO,S,,"Kennedy, Alyson",W,,,8,,,,,,,,,,,,,,,
MO,S,,"Day, Darrel",W,,,5,,,,,,,,,,,,,,,
MS,S,,"Allison, Clinton",D,"14,671",,,,,,,,,,,,,,,,,
MS,S,,"Brown, Troy",D,"27,457","20,358","314,090",,,,,,,,,,,,,,,
MS,S,,"Cole, Rickey L.",D,"15,449","10,080",,,,,,,,,,,,,,,,
MS,S,,"Hunt, James ""Bootie""",D,"8,616",,,,,,,,,,,,,,,,,
